City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,25,11,22,0.45,8,76,49,11
阿克苏地区,149,64,245,0.95,56,24,38,9
阿拉善盟,52,15,24,0.47,6,120,101,8
阿勒泰地区,31,7,14,0.4,10,82,60,7
阿里地区,26,10,25,0.6,40,43,34,37
安康,47,19,46,0.6,17,65,35,19
安庆,71,51,69,0.6,14,99,51,7
鞍山,40,8,39,0.54,13,91,69,7
安顺,31,4,10,0.53,8,70,61,6
安阳,58,6,63,0.9,16,96,63,18
白城,49,10,31,0.3,6,105,96,9
百色,83,61,97,1.25,28,12,7,27
白山,60,24,68,0.7,8,95,62,7
白银,48,17,47,0.45,16,68,32,11
保定,49,9,48,0.28,9,99,50,3
宝鸡,72,48,91,0.84,27,63,23,12
保山,58,34,63,0.6,27,83,67,6
包头,74,53,91,1.5,49,72,24,60
巴彦淖尔,57,24,61,0.83,28,101,53,25
巴中,43,26,42,0.6,30,31,42,4
北海,40,16,39,0.83,14,48,56,6
北京,41,11,40,0.25,13,88,57,1
蚌埠,77,56,78,0.68,18,96,68,13
本溪,49,7,48,0.57,12,83,54,7
毕节,41,3,6,0.45,11,79,80,4
滨州,60,19,67,0.73,20,81,39,10
博州,36,10,35,0.45,17,62,52,7
亳州,55,22,57,0.35,14,92,71,5
沧州,43,7,42,0.43,12,101,70,8
长春,40,9,39,0.32,9,89,71,3
常德,63,44,71,0.96,22,68,33,12
昌都,32,15,0,0.5,8,70,63,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,53,15,54,0.53,18,84,61,14
长沙,94,70,81,0.9,33,51,46,13
常熟,114,70,176,1.2,54,84,41,22
长治,62,35,71,0.82,32,92,40,33
常州,100,75,113,0.85,38,86,46,14
朝阳,56,7,59,0.5,6,99,79,6
潮州,27,16,26,1.17,20,55,20,12
承德,47,8,46,0.2,7,101,60,7
成都,41,18,40,0.63,29,64,54,7
郴州,21,10,20,1.18,24,21,19,6
赤峰,69,15,85,0.43,17,89,72,8
池州,72,52,78,0.73,33,96,43,11
重庆,30,18,29,0.63,30,48,52,5
崇左,42,26,41,0.6,12,35,15,7
楚雄州,40,24,39,0.7,7,114,47,12
滁州,105,78,134,0.6,22,117,68,12
大连,62,16,72,0.34,13,89,86,7
大理州,54,23,56,0.7,15,87,66,5
丹东,39,16,34,0.43,10,90,77,11
大庆,38,21,37,0.32,9,100,74,4
大同,65,27,78,1.37,34,64,35,41
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,41,11,40,0.4,7,95,63,23
达州,35,15,21,0.46,35,57,68,6
德宏州,71,51,88,1.25,33,61,29,17
德阳,58,33,63,0.45,29,59,33,11
德州,51,10,50,0.43,13,99,54,3
定西,74,11,95,0.3,11,90,32,6
迪庆州,46,25,45,0.5,12,71,48,9
东莞,56,33,60,0.85,39,52,20,16
东营,59,14,65,0.4,13,98,71,8
鄂尔多斯,39,11,38,0.45,13,100,46,7
恩施州,37,14,27,0.45,12,82,73,2
鄂州,70,43,88,0.67,23,70,31,6
防城港,39,27,38,1.0,21,14,17,3
佛山,69,46,85,1.06,60,16,6,16
抚顺,54,5,55,0.3,9,92,67,9
阜新,54,6,56,0.32,5,95,88,5
阜阳,61,34,70,0.43,18,91,77,7
富阳,0,0,0,0.0,0,0,0,0
福州,48,33,43,0.67,27,36,23,5
抚州,44,29,43,0.94,10,35,31,5
甘南州,41,10,15,0.5,0,80,80,0
赣州,18,10,14,1.68,10,29,15,8
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,21,8,20,0.45,26,58,40,17
广安,40,9,18,0.46,15,71,79,7
广元,33,12,32,0.53,37,42,31,23
广州,46,26,45,0.89,47,30,13,9
贵港,46,29,45,0.85,24,15,15,13
桂林,19,11,14,0.9,17,42,36,7
贵阳,40,25,39,0.59,20,46,43,5
果洛州,70,50,69,0.5,21,43,33,88
固原,89,15,126,0.8,16,87,64,7
哈尔滨,57,16,62,0.57,17,85,61,11
海北州,49,25,31,0.5,10,102,97,11
海东地区,36,25,32,0.6,19,86,70,5
海口,19,8,18,0.44,10,29,28,3
海门,69,49,81,0.65,21,67,38,11
海南州,31,14,21,0.7,13,97,59,10
海西州,38,9,28,1.0,13,90,74,17
哈密地区,59,16,65,0.35,20,65,68,22
邯郸,49,16,48,0.4,17,99,74,7
杭州,80,58,103,0.83,52,93,26,13
汉中,51,19,50,0.95,25,46,30,12
鹤壁,42,12,41,0.57,15,89,72,14
河池,14,7,13,0.97,16,19,9,5
合肥,59,41,57,0.65,19,101,48,7
鹤岗,31,17,30,0.33,7,90,61,6
黑河,45,6,17,0.33,4,103,88,7
衡水,43,16,42,0.33,11,105,67,6
衡阳,49,34,47,0.95,29,36,33,7
和田地区,385,117,487,0.45,23,59,44,10
河源,33,23,29,1.07,28,26,14,6
菏泽,69,15,86,0.3,12,76,55,13
贺州,12,8,0,0.7,16,16,10,9
红河州,165,125,137,1.3,19,125,110,13
淮安,54,28,56,0.72,16,112,73,6
淮北,70,41,87,0.5,17,83,61,9
怀化,59,41,62,1.0,11,73,62,3
淮南,97,72,112,0.74,14,83,66,10
黄冈,70,45,87,0.9,19,60,27,5
黄南州,39,27,30,0.9,9,74,69,10
黄山,42,23,41,0.47,15,88,54,7
黄石,80,58,105,1.07,32,51,25,11
呼和浩特,60,26,68,0.77,32,70,30,15
惠州,38,19,37,0.7,21,56,26,7
葫芦岛,75,8,97,0.57,11,95,70,6
呼伦贝尔,36,9,21,0.3,5,93,70,2
湖州,88,65,97,1.03,74,58,34,30
佳木斯,31,11,29,0.4,6,97,55,5
吉安,52,32,51,0.85,27,21,18,20
江门,66,38,79,1.08,55,21,12,10
江阴,119,89,145,1.23,36,83,33,17
胶南,49,19,48,0.8,8,104,76,11
胶州,57,31,61,0.5,16,108,80,6
焦作,52,22,51,0.56,12,110,101,6
嘉兴,76,55,88,0.9,47,85,30,20
嘉峪关,57,20,62,2.35,46,69,54,65
揭阳,33,23,32,1.15,25,60,25,12
吉林,56,10,59,0.47,11,85,52,5
即墨,52,15,52,0.5,10,102,85,7
济南,74,23,96,0.37,25,90,56,8
金昌,75,16,97,0.47,15,85,82,62
晋城,45,16,44,0.53,21,90,67,16
景德镇,33,23,31,0.64,9,42,25,5
荆门,62,43,71,0.68,25,50,52,8
荆州,61,41,69,0.7,23,53,41,7
金华,76,55,66,0.8,31,47,12,10
济宁,77,20,101,0.4,14,91,47,8
金坛,105,78,127,1.25,39,93,53,17
晋中,64,29,75,0.73,36,71,23,20
锦州,58,11,64,0.46,8,99,84,8
九江,100,75,116,0.86,35,37,36,23
酒泉,92,24,131,1.15,25,79,49,41
鸡西,25,11,24,0.45,18,67,48,8
句容,87,55,122,0.9,28,90,43,6
开封,68,20,83,0.5,14,99,65,9
喀什地区,195,129,337,0.67,42,37,39,11
克拉玛依,50,10,49,0.5,9,104,95,4
克州,240,94,377,0.8,44,33,50,12
库尔勒,60,17,67,0.57,22,59,62,5
昆明,58,40,60,0.9,29,94,51,14
昆山,77,56,87,1.2,51,84,45,18
来宾,30,14,29,1.1,20,9,4,7
莱芜,88,65,99,0.67,18,89,77,10
莱西,62,35,72,0.55,6,95,93,8
莱州,73,38,93,1.2,21,105,97,16
廊坊,52,11,52,0.4,17,98,72,2
兰州,54,25,55,0.57,29,78,40,11
拉萨,45,7,26,0.37,10,87,89,5
乐山,34,9,20,0.58,25,74,66,4
凉山州,45,10,23,0.74,13,97,88,20
连云港,61,43,63,0.9,21,104,75,14
聊城,64,12,75,0.23,13,95,56,5
辽阳,56,7,60,0.35,7,87,58,7
辽源,37,14,32,0.6,5,94,73,14
丽江,44,14,43,0.3,14,81,73,7
临安,71,47,90,1.0,30,116,55,11
临沧,69,49,85,1.15,32,92,57,18
临汾,63,36,74,1.06,28,82,42,44
临夏州,50,33,49,0.35,6,86,49,3
临沂,78,31,103,0.5,18,109,77,7
林芝,36,13,0,0.4,5,67,70,4
林芝地区,18,4,16,0.35,6,51,35,3
丽水,50,34,49,0.67,33,11,8,9
六盘水,42,6,12,0.64,15,70,82,9
柳州,12,8,11,0.98,18,29,16,5
溧阳,108,80,103,1.45,47,94,31,19
陇南,23,7,14,0.3,8,70,39,7
龙岩,43,30,41,1.02,35,10,7,10
娄底,63,44,68,1.18,33,44,35,9
六安,66,47,74,0.57,16,47,38,12
漯河,72,14,91,0.5,9,89,68,8
洛阳,53,12,53,0.23,14,100,61,6
泸州,30,17,24,0.28,14,55,59,5
吕梁,52,21,52,0.57,22,70,21,14
马鞍山,119,89,130,1.0,42,84,43,21
茂名,33,22,32,0.8,11,42,44,5
眉山,54,20,55,0.48,28,76,70,20
梅州,41,20,40,0.87,27,37,21,8
绵阳,38,23,37,0.4,21,69,43,7
牡丹江,53,30,54,0.52,28,35,31,10
南昌,54,29,55,1.0,23,57,33,13
南充,32,14,24,0.48,13,64,63,3
南京,98,73,141,0.64,25,99,47,13
南宁,54,28,55,0.88,29,15,12,6
南平,35,24,21,0.73,15,36,33,10
南通,70,49,88,0.64,20,96,27,12
南阳,36,11,35,0.58,12,94,69,5
那曲地区,52,28,52,0.63,5,66,41,4
内江,39,10,20,0.38,19,72,77,5
宁波,98,73,111,0.88,49,78,38,15
宁德,55,31,57,0.83,33,27,19,8
怒江州,80,45,107,0.9,25,51,44,10
盘锦,61,4,69,0.4,9,100,74,8
攀枝花,63,28,74,1.2,31,89,39,36
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,51,25,50,0.53,16,96,71,13
平度,0,0,0,0.0,0,0,0,0
平凉,63,16,74,0.35,22,70,32,9
萍乡,47,31,46,0.94,19,27,14,7
普洱,91,67,123,1.0,41,100,52,10
莆田,32,18,31,0.64,20,65,28,4
濮阳,61,9,70,0.45,14,81,54,7
黔东南州,32,22,29,0.65,24,65,55,10
黔南州,19,9,13,0.3,11,46,36,28
黔西南州,83,61,80,0.35,15,58,69,6
青岛,60,28,68,0.65,21,102,84,7
庆阳,53,10,53,0.4,10,94,89,4
清远,39,27,37,1.3,37,9,5,6
秦皇岛,44,10,43,0.32,15,104,46,7
钦州,36,20,35,0.73,12,38,38,10
齐齐哈尔,42,13,41,0.36,8,90,73,4
七台河,47,16,46,0.53,12,93,55,9
泉州,33,21,32,0.6,19,57,33,7
曲靖,62,41,71,1.1,23,100,64,22
衢州,74,53,89,1.1,43,30,13,12
日喀则,49,13,30,0.35,6,107,96,2
日喀则地区,29,6,27,0.35,2,68,56,5
日照,85,62,91,0.47,11,110,83,8
荣成,58,29,47,0.75,14,126,108,9
乳山,60,19,67,0.5,7,105,100,7
三门峡,75,42,97,0.73,27,67,15,9
三明,28,18,27,1.08,20,26,18,10
三沙,30,7,20,0.3,30,51,58,6
三亚,12,8,10,0.4,3,37,21,2
上海,91,67,92,1.29,84,61,35,14
商洛,56,23,59,0.6,10,102,46,10
商丘,195,146,154,1.16,35,48,36,9
上饶,61,42,70,0.7,27,23,10,8
山南,38,26,33,0.35,7,74,67,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,38,26,32,0.83,20,69,38,10
汕尾,30,13,29,0.63,15,66,53,8
韶关,30,21,29,1.44,21,22,10,19
绍兴,100,67,148,0.87,66,78,34,13
邵阳,50,35,40,0.96,14,82,31,5
沈阳,53,8,53,0.32,11,88,64,6
深圳,30,18,29,0.67,21,63,55,4
石河子,59,22,66,0.5,33,61,61,8
石家庄,49,13,48,0.35,15,93,55,6
十堰,59,33,66,0.78,25,68,44,12
石嘴山,57,22,61,0.55,15,101,54,15
寿光,75,49,97,1.0,18,94,47,15
双鸭山,33,14,14,0.27,6,102,61,3
朔州,77,28,101,0.5,19,85,27,22
四平,47,7,46,0.45,10,85,73,3
松原,47,10,46,0.5,9,83,69,3
绥化,36,15,35,0.35,11,73,56,3
遂宁,33,7,14,0.35,14,57,64,6
随州,52,18,51,0.63,11,92,74,8
宿迁,61,43,59,0.8,25,83,74,16
苏州,103,76,100,0.9,69,66,34,21
宿州,72,47,91,0.43,9,88,70,9
塔城地区,22,9,21,1.7,13,48,34,5
泰安,67,3,81,0.5,11,101,92,5
太仓,72,46,92,1.4,57,88,34,23
太原,66,24,79,0.75,35,70,36,12
台州,55,29,57,0.73,42,23,17,6
泰州,80,58,91,0.75,14,97,38,7
唐山,52,13,51,0.33,15,87,45,6
天津,66,33,79,0.7,24,105,61,13
天水,56,17,59,0.35,15,71,28,9
铁岭,74,15,95,0.3,10,93,68,4
铜川,48,8,47,0.33,11,107,62,7
通化,54,18,56,0.6,6,72,50,1
通辽,48,16,47,0.27,4,97,88,4
铜陵,92,68,97,0.75,41,51,29,19
铜仁地区,65,46,74,0.85,33,39,61,4
吐鲁番地区,65,17,77,0.5,22,83,64,6
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,82,50,111,0.46,15,105,65,9
威海,64,36,75,0.6,17,120,114,2
渭南,77,46,102,0.53,16,78,25,14
文登,65,21,48,0.8,16,123,116,5
文山州,139,106,0,1.1,19,86,62,16
温州,63,37,74,0.9,54,31,9,13
乌海,92,27,132,0.5,25,92,43,34
武汉,59,17,66,0.69,22,75,52,6
芜湖,89,66,89,0.85,41,90,25,14
吴江,82,41,111,1.0,53,87,30,15
五家渠,47,16,46,0.7,17,81,52,20
乌兰察布,33,10,25,0.3,6,103,54,12
乌鲁木齐,57,21,62,0.73,31,72,42,9
武威,69,21,85,0.3,16,71,54,4
无锡,98,73,135,1.26,63,93,35,23
吴忠,47,11,46,0.7,15,87,55,6
梧州,35,21,34,1.18,23,15,10,9
厦门,45,31,37,0.55,20,54,31,5
西安,70,35,88,0.66,30,67,21,12
湘潭,82,60,73,0.81,30,40,37,12
湘西州,50,34,49,0.97,23,12,10,8
襄阳,55,16,58,0.55,22,75,57,7
咸宁,74,53,80,0.73,22,60,38,7
咸阳,69,32,85,0.8,25,72,31,13
孝感,54,21,55,0.65,6,84,59,4
锡林郭勒盟,46,12,45,0.2,5,94,56,19
兴安盟,46,16,31,0.17,6,96,91,3
邢台,37,19,36,0.25,10,102,68,6
西宁,40,26,39,1.15,22,78,71,8
新乡,41,13,40,0.55,22,91,68,16
信阳,48,23,47,0.4,14,88,78,6
新余,59,38,66,1.1,28,22,11,28
忻州,33,11,31,0.37,10,102,48,12
西双版纳州,111,83,120,1.3,30,46,40,5
宣城,82,60,79,1.07,41,80,52,27
许昌,61,8,70,0.67,16,88,53,9
徐州,78,52,104,0.73,21,90,62,17
雅安,26,16,22,0.4,21,50,50,5
延安,60,15,67,0.65,38,59,21,7
延边州,28,19,25,0.6,24,82,52,5
盐城,63,44,55,0.7,14,101,67,8
阳江,54,37,47,0.97,35,24,30,9
阳泉,36,14,35,0.42,18,84,45,8
扬州,73,41,94,0.52,24,80,50,8
烟台,78,32,104,0.52,21,106,110,7
宜宾,31,16,26,0.48,31,53,61,10
宜昌,42,29,36,0.52,22,52,23,7
宜春,61,43,65,0.9,29,24,17,15
伊春,30,8,20,0.23,7,94,54,6
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,72,44,91,0.8,26,45,28,20
银川,51,21,50,0.61,23,83,52,23
营口,40,9,28,0.28,10,101,79,4
鹰潭,40,28,32,0.66,20,32,31,35
义乌,77,56,92,0.85,62,40,17,11
宜兴,93,69,122,0.9,56,82,45,25
益阳,91,67,93,1.1,27,54,46,10
永州,50,35,46,0.75,30,47,38,6
岳阳,71,51,80,0.88,21,62,38,6
玉林,43,28,42,1.07,26,12,7,14
榆林,63,22,73,0.83,49,54,20,20
运城,76,52,99,0.9,19,82,27,29
云浮,56,39,40,1.17,54,7,4,8
玉树州,32,9,18,0.5,4,78,62,7
玉溪,72,49,92,2.27,40,87,48,20
枣庄,75,21,98,0.5,17,101,78,11
张家港,96,62,140,0.85,33,81,39,13
张家界,63,42,73,0.85,28,52,49,3
张家口,48,12,47,0.94,13,89,69,7
章丘,85,32,117,0.95,21,77,42,21
张掖,35,16,33,0.3,11,75,69,14
漳州,72,52,87,1.07,41,46,25,10
湛江,35,20,34,0.72,8,65,65,4
肇庆,74,53,90,1.18,51,5,4,12
